conference_name,team_name,logo_url,roster_url
MAC,Miami University,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_MIAU.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=miami-university&id=91096
MAC,Northern Illinois,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_NIU.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=northern-illinois&id=91441
MAC,Ohio,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_OH.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=ohio&id=91510
MAC,Toledo,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_TOL.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=toledo&id=92085
MAC,Western Michigan,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_WM.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=western-michigan&id=92522
Mountain West,Air Force,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_AF.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=air-force&id=89877
Mountain West,Boise State,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_BOIST.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=boise-state&id=90130
Mountain West,Colorado State,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_COS.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=colorado-state&id=90360
Mountain West,Fresno State,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_FRST.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=fresno-state&id=90567
Mountain West,Hawaii,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_HI.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=hawaii&id=90636
Mountain West,Nevada,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_NV.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=nevada&id=91326
Mountain West,New Mexico,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_NM.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=new-mexico&id=91349
Mountain West,San Diego State,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_SDST.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=san-diego-state&id=91786
Mountain West,San Jose State,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_SJST.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=san-jose-state&id=92729
Mountain West,UNLV,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_UNLV.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=unlv&id=92246
Mountain West,Utah State,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_UTST.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=utah state&id=92315
Mountain West,Wyoming,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_WY.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=wyoming&id=92568
PAC-12,Arizona,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_AZ.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=arizona&id=89946
PAC-12,Arizona State,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_AZST.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=arizona-state&id=89969
PAC-12,California,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_CAL.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=california&id=90245
PAC-12,Colorado,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_CO.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=colorado&id=90337
PAC-12,Oregon,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_OR.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=oregon&id=91625
PAC-12,Oregon State,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_ORST.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=oregon-state&id=91648
PAC-12,Stanford,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_STAN.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=stanford&id=91901
PAC-12,UCLA,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_UCLA.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=ucla&id=92223
PAC-12,USC,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_USC.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=usc&id=92269
PAC-12,Utah,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_UT.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=utah&id=92292
PAC-12,Washington,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_WA.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=washington&id=92453
PAC-12,Washington State,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_WAST.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=washington-state&id=92476
SEC,Alabama,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_AL.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=alabama&id=89923
SEC,Arkansas,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_AR.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=arkansas&id=89992
SEC,Auburn,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_AUB.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=auburn&id=90061
SEC,Florida,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_FL.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=florida&id=90498
SEC,Georgia,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_GA.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=georgia&id=90590
SEC,Kentucky,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_KY.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=kentucky&id=90866
SEC,LSU,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_LSU.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=lsu&id=90981
SEC,Mississippi,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_OLEMS.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=ole-miss&id=91602
SEC,Mississippi State,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_MSST.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=mississippi-state&id=91211
SEC,Missouri,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_MO.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=missouri&id=91234
SEC,South Carolina,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_SC.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=south-carolina&id=91832
SEC,Tennessee,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_TEN.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=tennessee&id=91993
SEC,Texas A&M;,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_TXAM.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=texas-am&id=92039
SEC,Vanderbilt,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_VAN.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=vanderbilt&id=92361
Sun Belt,Appalachian State,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_AST.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=appalacian-state&id=92913
Sun Belt,Arkansas State,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_ARST.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=arkansas-state&id=90015
Sun Belt,Georgia Southern,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_GS.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=georgia-southern&id=92890
Sun Belt,Georgia State,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_GSU.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=georgia-state&id=92752
Sun Belt,Idaho,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_ID.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=idaho&id=90682
Sun Belt,Louisiana-Lafayette,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_LAL.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=louisiana-lafayette&id=90912
Sun Belt,Louisiana-Monroe,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_LAM.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=louisiana-monroe&id=90935
Sun Belt,New Mexico State,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_NMST.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=new-mexico-state&id=91372
Sun Belt,South Alabama,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_SAL.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=south-alabama&id=92798
Sun Belt,Texas State,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_TXST.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=texas-state&id=92821
Sun Belt,Troy,http://www.ourlads.com/ncaa-football-depth-charts/../images/colleges/FBS_TR.gif,http://www.ourlads.com/ncaa-football-depth-charts/roster.aspx?s=troy&id=92108
