Game Data,,,,,,,,,Quarterback,,,,,,,,,,,,,,,,,,,,,Running Back,,,,,,,,,,,Receiver,,,,,,,,,,,,,,Offensive Line,,,,,,Off-Penalty,,,,,Defense,,,,,,,,,,,Coverage,,,,,,,,Def-Penalty,,,,
Play#,Off,Def,Q,Dwn,Y2G,Half,Yd Ln,Res,QB,SG/UC,Att,Comp,Dir,AirYds,Tyds,Press,Pock,Scram?,Acc,Int,TD,DPInt,TA,BP,Fum,Sk,Ht,Hur,Note,RB,Att,Yds,YAC,1D,TD,MT,Stuff,Fum,FumL,Note,WR,Tgt,Rec,Cont,AirYds,Tyds,YAC,MT,Drop,EZ,1D,TD,Fum,Note,OL1,Pos,Hur,Hit,Sk,Note,Player,Type,Yds,Acc/Dec,Note,Defender,Tackle,MT,Stuff,Sack,Hit,Hur,FF,FumR,BP,D-TD,Tgt,Comp,Cont,PD,TD,Int,PI,Note,Player,Type,Yds,Acc/Dec,Note
  , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Tyvis Powell 23,1,,,,,,,,,,,,,,,,,,,,,,
31,BAMA,OSU,1,2,2,Opp,45, ,Blake Sims 6,SG,1,0,Right,0,,1,1,,,,,,,,,,,,, ,,,,,,,,,,,DeAndrew White 2,1,0,0,0,,,,,,,,,, , ,,,,,,,,,,Doran Grant 12,,,,,,,,,,,1,0,0,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,Austin Shepherd 79,RT,1,,,,,,,,,Michael Bennett 53,,,,,,1,,,1,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,Ryan Kelly 70,C,1,,,,,,,,,Joshua Perry 37,,,,,,1,,,,,,,,,,,,,,,,,
32,BAMA,OSU,1,3,2,Opp,45,First,, ,,, ,,,,,,,,,,,,,,,,,T.J. Yeldon 4,1,9,4,1,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Curtis Grant 14,1,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Eli Apple 13,1,,,,,,,,,,,,,,,,,,,,,,
33,BAMA,OSU,1,1,10,Opp,36, ,, ,,, ,,,,,,,,,,,,,,,,,Derrick Henry 27,1,7,1,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Curtis Grant 14,1,,,,,,,,,,,,,,,,,,,,,,
34,BAMA,OSU,1,2,3,Opp,29,First,, ,,, ,,,,,,,,,,,,,,,,,Derrick Henry 27,1,4,0,1,,,,,,Dive, ,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
35,BAMA,OSU,1,1,10,Opp,25,First,Blake Sims 6,SG,1,1,Right,5,10,1,1,,,,,,,,,,1,,, ,,,,,,,,,,,Jalston Fowler 45,1,1,0,5,10,5,,,,1,,,, ,,,,,,,,,,,Darron Lee 43,,,,,,,,,,,1,1,0,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Joshua Perry 37,,,,,1,,,,,,,,,,,,,,,,,,
